,index,color_name,hex_string,colour_group,colour_group_type,source,hue,saturation,brightness,temperature
0,0,Navy Blue,000080,Blue,Primary,Sewguide,240,100,50.2,Cool
1,1,Navy Blue,000080,Blue,Primary,Eggradients,240,100,50.2,Cool
9,9,Cobalt Blue,0047ab,Azure,Tertiary,Eggradients,215,100,67.1,Cool
12,12,Baltic,006dae,Azure,Tertiary,Sewguide,202,100,68.2,Cool
13,13,True Blue,0073cf,Azure,Tertiary,Eggradients,207,100,81.2,Cool
14,14,Azure,007fff,Azure,Tertiary,Sewguide,210,100,100,Cool
15,15,Teal,008080,Spring Green,Tertiary,Eggradients,180,100,50.2,Cool
16,16,Peacocks Plume,0097a3,Azure,Tertiary,Sewguide,184,100,63.9,Cool
21,21,Cyan,00ffff,Cyan,Tertiary,Eggradients,180,100,100,Cool
23,23,Cerulean,02a4d3,Azure,Tertiary,Sewguide,193,99.1,82.7,Cool
24,24,Porcelain Blue,035589,Azure,Tertiary,Sewguide,203,97.8,53.7,Cool
25,25,Sky Blue,03bfff,Azure,Tertiary,Eggradients,195,98.8,100,Cool
27,27,Electric Blue,0592d0,Azure,Tertiary,Eggradients,198,97.6,81.6,Cool
32,32,Strong Bluish Green,0d8f82,Spring Green,Tertiary,ISCC-NBC System,174,90.9,56.1,Cool
33,33,Blue Green,0d98ba,Azure,Tertiary,Sewguide,192,93,72.9,Cool
34,34,Yale Blue,0e4d92,Azure,Tertiary,Sewguide,211,90.4,57.3,Cool
36,36,Sapphire,0f52ba,Azure,Tertiary,Sewguide,216,91.9,72.9,Cool
39,39,Mexican Pink,105bd1,Azure,Tertiary,Sewguide,217,92.3,82,Cool
42,42,Strong Greenish Blue,1385af,Azure,Tertiary,ISCC-NBC System,196,89.1,68.6,Cool
43,43,Vivid Bluish Green,13fcd5,Cyan,Tertiary,ISCC-NBC System,170,92.5,98.8,Cool
53,53,Capri Blue,1b5583,Azure,Tertiary,Sewguide,207,79.4,51.4,Cool
54,54,Vivid Blue,1b5cd7,Azure,Tertiary,ISCC-NBC System,219,87.4,84.3,Cool
55,55,Persian Blue,1c39bb,Blue,Primary,Sewguide,229,85,73.3,Cool
56,56,Gobelin Blue,1c3c91,Blue,Primary,Sewguide,224,80.7,56.9,Cool
66,66,Vivid Green,23eaa5,Spring Green,Tertiary,ISCC-NBC System,159,85,91.8,Cool
68,68,Lapiz Lazuli,26619c,Azure,Tertiary,Sewguide,210,75.6,61.2,Cool
69,69,Strong Blue,276cbd,Azure,Tertiary,ISCC-NBC System,212,79.4,74.1,Cool
71,71,Adriatic,285790,Blue,Primary,Sewguide,213,72.2,56.5,Cool
73,73,Jungle Green,29ab87,Spring Green,Tertiary,Sewguide,163,76,67.1,Cool
75,75,Cerulean Blue,2a52be,Blue,Primary,Eggradients,224,77.9,74.5,Cool
76,76,Moderate Greenish Blue,2a7691,Azure,Tertiary,ISCC-NBC System,196,71,56.9,Cool
82,82,Brilliant Greenish Blue,2dbce2,Azure,Tertiary,ISCC-NBC System,193,80.1,88.6,Cool
99,99,Moderate Blue,34689e,Azure,Tertiary,ISCC-NBC System,211,67.1,62,Cool
104,104,Brilliant Bluish Green,35d7ce,Cyan,Tertiary,ISCC-NBC System,177,75.3,84.3,Cool
127,127,Turquoise,40e0d0,Cyan,Tertiary,Sewguide,174,71.4,87.8,Cool
128,128,Turquoise,40e0d0,Cyan,Tertiary,Eggradients,174,71.4,87.8,Cool
129,129,Turquoise,40e0d0,Cyan,Tertiary,Eggradients,174,71.4,87.8,Cool
130,130,Ultramarine,4166f5,Blue,Primary,Sewguide,228,73.5,96.1,Cool
131,131,Royal Blue,4169e1,Blue,Primary,Sewguide,225,71.1,88.2,Cool
132,132,Royal Blue,4169e1,Blue,Primary,Eggradients,225,71.1,88.2,Cool
133,133,Brilliant Blue,419ded,Azure,Tertiary,ISCC-NBC System,208,72.6,92.9,Cool
137,137,Queen Blue,436b95,Blue,Primary,Sewguide,211,55,58.4,Cool
138,138,Verdigris,43b3ae,Spring Green,Tertiary,Sewguide,177,62.6,70.2,Cool
140,140,Vivid Purplish Blue,4436d1,Blue,Primary,ISCC-NBC System,245,74.2,82,Cool
141,141,Bean Blue,44798e,Azure,Tertiary,Sewguide,197,52.1,55.7,Cool
145,145,Steel Blue,4682b4,Azure,Tertiary,Sewguide,207,61.1,70.6,Cool
150,150,Celestial,4997d0,Azure,Tertiary,Sewguide,205,64.9,81.6,Cool
151,151,Brilliant Green,49d0a3,Spring Green,Tertiary,ISCC-NBC System,160,64.9,81.6,Cool
154,154,Fairytale Green,4aab80,Spring Green,Tertiary,Sewguide,153,56.7,67.1,Cool
155,155,Indigo,4b0082,Violet,Secondary,Sewguide,275,100,51,Cool
156,156,Indigo Purple,4b0082,Violet,Secondary,Eggradients,275,100,51,Cool
160,160,Niagara Blue,4c6b80,Blue,Primary,Sewguide,204,40.6,50.2,Cool
163,163,Moderate Purplish Blue,4d4e87,Blue,Primary,ISCC-NBC System,239,43,52.9,Cool
172,172,Strong Purplish Blue,5359b5,Blue,Primary,ISCC-NBC System,236,54.1,71,Cool
179,179,Dark Purple,551a8b,Violet,Secondary,Eggradients,271,81.3,54.5,Cool
180,180,Dark Purple,551a8b,Violet,Secondary,Eggradients,271,81.3,54.5,Cool
190,190,Iris Blue,5a4fcf,Blue,Primary,Sewguide,245,61.8,81.2,Cool
194,194,Moderate Violet,5c4985,Blue,Primary,ISCC-NBC System,259,45.1,52.2,Cool
201,201,Cadet Blue,5f9ea0,Azure,Tertiary,Sewguide,182,40.6,62.7,Cool
202,202,Light Bluish Green,5fabab,Spring Green,Tertiary,ISCC-NBC System,180,44.4,67.1,Cool
204,204,Delphi Blue,608ca8,Azure,Tertiary,Sewguide,203,42.9,65.9,Cool
209,209,Strong Violet,61419c,Blue,Primary,ISCC-NBC System,261,58.3,61.2,Cool
216,216,Cornflower Blue,6593f5,Azure,Tertiary,Sewguide,221,58.8,96.1,Cool
217,217,Light Greenish Blue,65a8c3,Azure,Tertiary,ISCC-NBC System,197,48.2,76.5,Cool
222,222,Blue Grey,6699cc,Azure,Tertiary,Sewguide,210,50,80,Cool
223,223,Blue Gray,6699cc,Azure,Tertiary,Eggradients,210,50,80,Cool
231,231,Iris Purple,6a5acd,Blue,Primary,Eggradients,248,56.1,80.4,Cool
237,237,Electric Indigo,6f00ff,Violet,Secondary,Eggradients,266,100,100,Cool
238,238,Grape,6f2da8,Violet,Secondary,Eggradients,272,73.2,65.9,Cool
243,243,Light Green,6fac95,Spring Green,Tertiary,ISCC-NBC System,157,35.5,67.5,Cool
247,247,Slate,708090,Blue,Primary,Sewguide,210,22.2,56.5,Cool
251,251,Light Blue,73a4dc,Azure,Tertiary,ISCC-NBC System,212,47.7,86.3,Cool
252,252,Tilleul,73d2b2,Spring Green,Tertiary,Sewguide,160,45.2,82.4,Cool
256,256,Slate Gray,778899,Blue,Primary,Eggradients,210,22.2,60,Cool
259,259,Serpentine,78a680,Green,Secondary,Sewguide,130,27.7,65.1,Cool
261,261,Vivid Violet,7931d3,Violet,Secondary,ISCC-NBC System,267,76.8,82.7,Cool
271,271,Violet,7f00ff,Violet,Secondary,Sewguide,270,100,100,Cool
274,274,Aquamarine,7fffd4,Spring Green,Tertiary,Sewguide,160,50.2,100,Cool
275,275,Aquamarine,7fffd4,Spring Green,Tertiary,Eggradients,160,50.2,100,Cool
285,285,Brilliant Purplish Blue,8088e2,Blue,Primary,ISCC-NBC System,235,43.4,88.6,Cool
287,287,Forget Me Not,816aa2,Blue,Primary,Sewguide,265,34.6,63.5,Cool
289,289,Bluish Gray,838793,Blue,Primary,ISCC-NBC System,225,10.9,57.6,Cool
290,290,Oxford Grey,8391a1,Blue,Primary,Sewguide,212,18.6,63.1,Cool
293,293,Greenish Gray,848888,Green,Secondary,ISCC-NBC System,180,2.94,53.3,Cool
295,295,Chinese Violet,856088,Blue,Primary,Eggradients,296,29.4,53.3,Cool
296,296,Zenith Blue,85b2d3,Azure,Tertiary,Sewguide,205,37,82.7,Cool
299,299,Moderate Purple,875e96,Violet,Secondary,ISCC-NBC System,284,37.3,58.8,Cool
301,301,Sky Blue,87ceeb,Azure,Tertiary,Sewguide,197,42.6,92.2,Cool
302,302,Brilliant Yellowish Green,87d989,Green,Secondary,ISCC-NBC System,121,37.8,85.1,Cool
303,303,French Violet,8806ce,Violet,Secondary,Sewguide,279,97.1,80.8,Cool
306,306,Grey Stone,888c8d,Blue,Primary,Sewguide,192,3.55,55.3,Cool
307,307,Light Purplish Blue,8991cb,Blue,Primary,ISCC-NBC System,233,32.5,79.6,Cool
308,308,Baby Blue,89cff0,Azure,Tertiary,Sewguide,199,42.9,94.1,Cool
310,310,Blue Violet,8a2be2,Violet,Secondary,Eggradients,271,81,88.6,Cool
320,320,Frost Blue,8bafc7,Azure,Tertiary,Sewguide,204,30.2,78,Cool
321,321,Cool Gray,8c92ac,Blue,Primary,Eggradients,229,18.6,67.5,Cool
322,322,Florentine,8c9ab4,Blue,Primary,Sewguide,219,22.2,70.6,Cool
327,327,Pale Purplish Blue,8e92b7,Blue,Primary,ISCC-NBC System,234,22.4,71.8,Cool
328,328,Purplish Gray,8f8490,Blue,Primary,ISCC-NBC System,295,8.33,56.5,Cool
331,331,Hydrangea,90b0c5,Azure,Tertiary,Sewguide,204,26.9,77.3,Cool
333,333,Pale Blue,91a2bb,Blue,Primary,ISCC-NBC System,216,22.5,73.3,Cool
334,334,Cadet Grey,91a3b0,Blue,Primary,Sewguide,205,17.6,69,Cool
340,340,Strong Purple,9352a8,Violet,Secondary,ISCC-NBC System,285,51.2,65.9,Cool
341,341,Persian Violet,939cc3,Blue,Primary,Sewguide,229,24.6,76.5,Cool
344,344,Dark Violet,9400d3,Violet,Secondary,Eggradients,282,100,82.7,Cool
346,346,Pale Green,94a6a3,Green,Secondary,ISCC-NBC System,170,10.8,65.1,Cool
347,347,Very Light Greenish Blue,94d6ef,Azure,Tertiary,ISCC-NBC System,196,38.1,93.7,Cool
356,356,Brilliant Violet,987fdc,Blue,Primary,ISCC-NBC System,256,42.3,86.3,Cool
357,357,Very Light Bluish Green,98e1e0,Spring Green,Tertiary,ISCC-NBC System,179,32.4,88.2,Cool
360,360,Amethyst,9966cc,Violet,Secondary,Sewguide,270,50,80,Cool
361,361,Amethyst Purple,9966cc,Violet,Secondary,Eggradients,270,50,80,Cool
364,364,Very Light Blue,99c6f9,Azure,Tertiary,ISCC-NBC System,212,38.6,97.6,Cool
365,365,Pale Violet,9a90b5,Blue,Primary,ISCC-NBC System,256,20.4,71,Cool
366,366,Aventurine,9ac69b,Green,Secondary,Sewguide,121,22.2,77.6,Cool
370,370,Light Violet,9b8cca,Blue,Primary,ISCC-NBC System,255,30.7,79.2,Cool
377,377,Purple,9f00c5,Violet,Secondary,Sewguide,288,100,77.3,Cool
388,388,Cambridge Blue,a3c1ad,Green,Secondary,Sewguide,140,15.5,75.7,Cool
390,390,Quaker Grey,a5b2b6,Blue,Primary,Sewguide,194,9.34,71.4,Cool
391,391,China Blue,a5e3fa,Azure,Tertiary,Sewguide,196,34,98,Cool
394,394,Grey Blue,a6bbea,Blue,Primary,Sewguide,221,29.1,91.8,Cool
395,395,Very Light Green,a6e2ca,Spring Green,Tertiary,ISCC-NBC System,156,26.5,88.6,Cool
397,397,Purple Gray,a7a6ba,Blue,Primary,Eggradients,243,10.8,72.9,Cool
398,398,Verdant Green,a7d3a8,Green,Secondary,Sewguide,121,20.9,82.7,Cool
403,403,Gun Metal,aaa9ae,Blue,Primary,Sewguide,252,2.87,68.2,Cool
404,404,Mint,aaf0d1,Spring Green,Tertiary,Eggradients,153,29.2,94.1,Cool
410,410,Pale Purple,ad97b3,Blue,Primary,ISCC-NBC System,287,15.6,70.2,Cool
411,411,Pastel Blue,aec6cf,Azure,Tertiary,Sewguide,196,15.9,81.2,Cool
414,414,Dove Grey,afb8bd,Blue,Primary,Sewguide,201,7.41,74.1,Cool
418,418,Powder Blue,b0dfe5,Azure,Tertiary,Sewguide,187,23.1,89.8,Cool
422,422,African Violet,b284be,Violet,Secondary,Eggradients,288,30.5,74.5,Cool
424,424,Ash,b2beb5,Green,Secondary,Sewguide,135,6.32,74.5,Cool
425,425,Ash Gray,b2beb5,Green,Secondary,Eggradients,135,6.32,74.5,Cool
426,426,Celeste,b2ffff,Cyan,Tertiary,Sewguide,180,30.2,100,Cool
438,438,Lilac,b666d2,Violet,Secondary,Sewguide,284,51.4,82.4,Cool
442,442,Light Bluish Gray,b7b8c6,Blue,Primary,ISCC-NBC System,236,7.58,77.6,Cool
443,443,Very Light Purplish Blue,b7c0f8,Blue,Primary,ISCC-NBC System,232,26.2,97.3,Cool
448,448,Vivid Purple,b935d5,Violet,Secondary,ISCC-NBC System,290,75.1,83.5,Cool
452,452,Light Greenish Gray,babec1,Blue,Primary,ISCC-NBC System,206,3.63,75.7,Cool
453,453,Light Purple,bc93cc,Violet,Secondary,ISCC-NBC System,283,27.9,80,Cool
456,456,Light Gray,bdb7bf,Blue,Primary,ISCC-NBC System,285,4.19,74.9,Cool
458,458,Electric Purple,bf00ff,Violet,Secondary,Eggradients,285,100,100,Cool
472,472,Very Pale Blue,c2d2ec,Azure,Tertiary,ISCC-NBC System,217,17.8,92.5,Cool
475,475,Light Purplish Gray,c3b7c6,Blue,Primary,ISCC-NBC System,288,7.58,77.6,Cool
476,476,Periwinkle,c3cde6,Blue,Primary,Sewguide,223,15.2,90.2,Cool
481,481,Lavender Grey,c4c3d0,Blue,Primary,Sewguide,245,6.25,81.6,Cool
484,484,Very Pale Purplish Blue,c5c9f0,Blue,Primary,ISCC-NBC System,234,17.9,94.1,Cool
492,492,Very Pale Green,c7d9d6,Spring Green,Tertiary,ISCC-NBC System,170,8.29,85.1,Cool
496,496,Wisteria,c9a0dc,Violet,Secondary,Sewguide,281,27.3,86.3,Cool
497,497,Very Light Violet,c9baf8,Blue,Primary,ISCC-NBC System,255,25,97.3,Cool
513,513,Brilliant Purple,ce8ce3,Violet,Secondary,ISCC-NBC System,286,38.3,89,Cool
517,517,Very Pale Violet,d0c6ef,Blue,Primary,ISCC-NBC System,255,17.2,93.7,Cool
545,545,Heliotrope,df73ff,Magenta,Tertiary,Sewguide,286,54.9,100,Cool
546,546,Heliotrope Purple,df73ff,Magenta,Tertiary,Eggradients,286,54.9,100,Cool
549,549,Mauve,e0b0ff,Violet,Secondary,Sewguide,276,31,100,Cool
550,550,Very Pale Purple,e0cbeb,Violet,Secondary,ISCC-NBC System,279,13.6,92.2,Cool
552,552,Greenish White,e0e2e5,Blue,Primary,ISCC-NBC System,216,2.18,89.8,Cool
555,555,Bluish White,e1e1f1,Blue,Primary,ISCC-NBC System,240,6.64,94.5,Cool
563,563,Very Light Purple,e4b9f3,Violet,Secondary,ISCC-NBC System,284,23.9,95.3,Cool
576,576,Lavender,e6e6fa,Blue,Primary,Sewguide,240,8,98,Cool
577,577,Lavender,e6e6fa,Blue,Primary,Eggradients,240,8,98,Cool
581,581,White,e7e1e9,Blue,Primary,ISCC-NBC System,285,3.43,91.4,Cool
596,596,Purplish White,ebdfef,Violet,Secondary,ISCC-NBC System,285,6.69,93.7,Cool
623,623,Alice Blue,f0f8ff,Azure,Tertiary,Sewguide,208,5.88,100,Cool
2,2,Oxford Blue,002047,Blue,Primary,Sewguide,213,100,27.8,Neutral/Undefined
3,3,Oxford Blue,002147,Blue,Primary,Eggradients,212,100,27.8,Neutral/Undefined
4,4,Marine Blue,002a77,Blue,Primary,Sewguide,219,100,46.7,Neutral/Undefined
5,5,Prussian Blue,003153,Blue,Primary,Eggradients,205,100,32.5,Neutral/Undefined
6,6,Moss Green,003366,Blue,Primary,Sewguide,210,100,40,Neutral/Undefined
7,7,Midnight Blue,003366,Blue,Primary,Eggradients,210,100,40,Neutral/Undefined
8,8,Midnight Blue,003366,Blue,Primary,Eggradients,210,100,40,Neutral/Undefined
10,10,Dark Green,006400,Green,Secondary,Eggradients,120,100,39.2,Neutral/Undefined
11,11,Bottle Green,006a4e,Spring Green,Tertiary,Sewguide,164,100,41.6,Neutral/Undefined
17,17,Jade,00a86b,Spring Green,Tertiary,Sewguide,158,100,65.9,Neutral/Undefined
18,18,Lime,00ff00,Green,Secondary,Sewguide,120,100,100,Neutral/Undefined
19,19,Spring Green,00ff7f,Spring Green,Tertiary,Sewguide,150,100,100,Neutral/Undefined
20,20,Spring Green,00ff7f,Spring Green,Tertiary,Eggradients,150,100,100,Neutral/Undefined
22,22,Pine,01796f,Spring Green,Tertiary,Sewguide,175,99.2,47.5,Neutral/Undefined
26,26,Very Deep Yellowish Green,054208,Green,Secondary,ISCC-NBC System,123,92.4,25.9,Neutral/Undefined
28,28,Very Dark Bluish Green,0a2d2e,Blue,Primary,ISCC-NBC System,182,78.3,18,Neutral/Undefined
29,29,Very Dark Greenish Blue,0b2c3b,Blue,Primary,ISCC-NBC System,199,81.4,23.1,Neutral/Undefined
30,30,Forrest Green,0b6623,Green,Secondary,Sewguide,136,89.2,40,Neutral/Undefined
31,31,Very Dark Green,0c2e24,Green,Secondary,ISCC-NBC System,162,73.9,18,Neutral/Undefined
35,35,Onyx,0f0f0f,Red,Primary,Eggradients,0,0,5.88,Neutral/Undefined
37,37,Smoky Black,100c08,Red,Primary,Eggradients,30,50,6.27,Neutral/Undefined
38,38,Very Dark Yellowish Green,10361a,Green,Secondary,ISCC-NBC System,136,70.4,21.2,Neutral/Undefined
40,40,Deep Blue,113074,Blue,Primary,ISCC-NBC System,221,85.3,45.5,Neutral/Undefined
41,41,Dark Greenish Blue,134a60,Blue,Primary,ISCC-NBC System,197,80.2,37.6,Neutral/Undefined
44,44,Dark Bluish Green,154b4d,Blue,Primary,ISCC-NBC System,182,72.7,30.2,Neutral/Undefined
45,45,Strong Green,158a66,Spring Green,Tertiary,ISCC-NBC System,162,84.8,54.1,Neutral/Undefined
46,46,Eigengrau,16161d,Blue,Primary,Eggradients,240,24.1,11.4,Neutral/Undefined
47,47,Dark Green,164e3d,Green,Secondary,ISCC-NBC System,162,71.8,30.6,Neutral/Undefined
48,48,Peacock Green,166c4d,Green,Secondary,Sewguide,158,79.6,42.4,Neutral/Undefined
49,49,Dark Blue,173459,Blue,Primary,ISCC-NBC System,214,74.2,34.9,Neutral/Undefined
50,50,Deep Yellowish Green,176a1e,Green,Secondary,ISCC-NBC System,125,78.3,41.6,Neutral/Undefined
51,51,Lincoln Green,195905,Green,Secondary,Sewguide,106,94.4,34.9,Neutral/Undefined
52,52,Licorice,1a1110,Red,Primary,Eggradients,6,38.5,10.2,Neutral/Undefined
57,57,Blackish Blue,1e2531,Blue,Primary,ISCC-NBC System,218,38.8,19.2,Neutral/Undefined
58,58,Cobalt Blue,1e2b67,Blue,Primary,Sewguide,229,70.9,40.4,Neutral/Undefined
59,59,Blackish Green,1f2a2a,Green,Secondary,ISCC-NBC System,180,26.2,16.5,Neutral/Undefined
60,60,Dark Olive Green,20340b,Green,Secondary,ISCC-NBC System,89.3,78.8,20.4,Neutral/Undefined
61,61,Greenish Black,212626,Green,Secondary,ISCC-NBC System,180,13.2,14.9,Neutral/Undefined
62,62,Hyacinth Blue,213567,Blue,Primary,Sewguide,223,68,40.4,Neutral/Undefined
63,63,Dark Purplish Blue,222248,Blue,Primary,ISCC-NBC System,240,52.8,28.2,Neutral/Undefined
64,64,Forest Green,228b22,Green,Secondary,Eggradients,120,75.5,54.5,Neutral/Undefined
65,65,Olive Black,23211c,Red,Primary,ISCC-NBC System,42.9,20,13.7,Neutral/Undefined
67,67,Bluish Black,24272e,Blue,Primary,ISCC-NBC System,222,21.7,18,Neutral/Undefined
70,70,Ebony,282c35,Blue,Primary,Eggradients,222,24.5,20.8,Neutral/Undefined
72,72,Moderate Bluish Green,297a7b,Azure,Tertiary,ISCC-NBC System,181,66.7,48.2,Neutral/Undefined
74,74,Deep Purplish Blue,2a286f,Blue,Primary,ISCC-NBC System,242,64,43.5,Neutral/Undefined
77,77,Brownish Black,2b211e,Red,Primary,ISCC-NBC System,13.8,30.2,16.9,Neutral/Undefined
78,78,Purplish Black,2b2630,Blue,Primary,ISCC-NBC System,270,20.8,18.8,Neutral/Undefined
79,79,Black,2b292b,Red,Primary,ISCC-NBC System,300,4.65,16.9,Neutral/Undefined
80,80,Gunmetal Gray,2c3539,Blue,Primary,Eggradients,198,22.8,22.4,Neutral/Undefined
81,81,Strong Olive Green,2c5506,Green,Secondary,ISCC-NBC System,91.1,92.9,33.3,Neutral/Undefined
83,83,Sea Green,2e8b57,Green,Secondary,Sewguide,146,66.9,54.5,Neutral/Undefined
84,84,Blackish Purple,2f2231,Blue,Primary,ISCC-NBC System,292,30.6,19.2,Neutral/Undefined
85,85,Dark Grayish Olive Green,2f3326,Green,Secondary,ISCC-NBC System,78.5,25.5,20,Neutral/Undefined
86,86,Dark Yellowish Green,2f5d3a,Green,Secondary,ISCC-NBC System,134,49.5,36.5,Neutral/Undefined
87,87,Reddish Black,30262b,Red,Primary,ISCC-NBC System,330,20.8,18.8,Neutral/Undefined
88,88,Paisley Green,305d35,Green,Secondary,Sewguide,127,48.4,36.5,Neutral/Undefined
89,89,Seal Brown,321414,Red,Primary,Sewguide,0,60,19.6,Neutral/Undefined
90,90,Russian Violet,32174d,Blue,Primary,Eggradients,270,70.1,30.2,Neutral/Undefined
91,91,Dark Grayish Blue,323f4e,Blue,Primary,ISCC-NBC System,212,35.9,30.6,Neutral/Undefined
92,92,Peacock Blue,326872,Azure,Tertiary,Sewguide,189,56.1,44.7,Neutral/Undefined
93,93,Lime Green,32cd32,Green,Secondary,Sewguide,120,75.6,80.4,Neutral/Undefined
94,94,Lime Green,32cd32,Green,Secondary,Eggradients,120,75.6,80.4,Neutral/Undefined
95,95,Blackish Red,332127,Red,Primary,ISCC-NBC System,340,35.3,20,Neutral/Undefined
96,96,Moderate Green,337762,Green,Secondary,ISCC-NBC System,161,57.1,46.7,Neutral/Undefined
97,97,Dark Violet,34254d,Blue,Primary,ISCC-NBC System,262,51.9,30.2,Neutral/Undefined
98,98,Jet,343434,Red,Primary,Eggradients,0,0,20.4,Neutral/Undefined
100,100,Cocoa,35281e,Red,Primary,Sewguide,26.1,43.4,20.8,Neutral/Undefined
101,101,Dark Olive,352e0a,Red,Primary,ISCC-NBC System,50.2,81.1,20.8,Neutral/Undefined
102,102,Dark Grayish Olive,35301c,Red,Primary,ISCC-NBC System,48,47.2,20.8,Neutral/Undefined
103,103,Hunter Green,355e3b,Green,Secondary,Eggradients,129,43.6,36.9,Neutral/Undefined
105,105,Charcoal,36454f,Blue,Primary,Eggradients,204,31.6,31,Neutral/Undefined
106,106,Charcoal,36454f,Blue,Primary,Eggradients,204,31.6,31,Neutral/Undefined
107,107,Very Dark Purple,371b41,Blue,Primary,ISCC-NBC System,284,58.5,25.5,Neutral/Undefined
108,108,Police Box Blue,374f6b,Blue,Primary,Sewguide,212,48.6,42,Neutral/Undefined
109,109,Dark Grayish Green,394746,Green,Secondary,ISCC-NBC System,176,19.7,27.8,Neutral/Undefined
110,110,Strong Yellowish Green,39964a,Green,Secondary,ISCC-NBC System,131,62,58.8,Neutral/Undefined
111,111,Neon Green,39ff14,Green,Secondary,Eggradients,111,92.2,100,Neutral/Undefined
